epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4329,1.27372,2.08062,1.21328,0.82776,0.38076,0.76421,0.40862,1.16614,2.34733,1.08401,0.000468394,0.000468394,0.000468394
2,36.859,1.13885,1.1365,1.16433,0.85902,0.88066,0.91147,0.65864,0.90487,1.25079,1.06216,0.000926022,0.000926022,0.000926022
3,53.5985,1.11631,0.98523,1.1666,0.9318,0.94949,0.97999,0.78448,0.7989,0.75913,1.03014,0.00136479,0.00136479,0.00136479
4,71.3666,1.11495,0.93239,1.16121,0.94296,0.90798,0.97279,0.77898,0.78007,0.75892,1.00029,0.00134412,0.00134412,0.00134412
5,88.7002,1.06776,0.85157,1.14914,0.98133,0.96059,0.98796,0.7957,0.79201,0.59885,1.00508,0.00131582,0.00131582,0.00131582
6,106.118,1.02742,0.78356,1.12716,0.97954,0.97479,0.99067,0.8089,0.7333,0.53198,0.97623,0.00128753,0.00128753,0.00128753
7,122.833,0.998,0.73311,1.11496,0.95032,0.94933,0.98294,0.82071,0.68134,0.57261,0.96474,0.00125923,0.00125923,0.00125923
8,139.953,0.96728,0.69003,1.09677,0.96444,0.96513,0.98824,0.82132,0.71548,0.52311,0.9862,0.00123094,0.00123094,0.00123094
9,156.84,0.96421,0.67054,1.10484,0.956,0.95226,0.98771,0.80489,0.75809,0.50741,0.99376,0.00120265,0.00120265,0.00120265
10,173.545,0.94747,0.64865,1.0953,0.98239,0.98286,0.9936,0.80097,0.75195,0.45534,0.96963,0.00117435,0.00117435,0.00117435
11,190.394,0.97152,0.63455,1.09175,0.97578,0.98264,0.98674,0.75772,0.86976,0.47765,1.00647,0.00114606,0.00114606,0.00114606
12,206.896,0.94636,0.61676,1.09314,0.96651,0.9722,0.98871,0.83088,0.66908,0.43869,0.95241,0.00111776,0.00111776,0.00111776
13,223.387,0.92612,0.58794,1.08502,0.97052,0.96532,0.99011,0.82238,0.71373,0.455,0.97837,0.00108947,0.00108947,0.00108947
14,239.777,0.91036,0.57789,1.07598,0.9835,0.94848,0.98717,0.82937,0.67602,0.4615,0.954,0.00106118,0.00106118,0.00106118
15,257.166,0.9133,0.58576,1.08249,0.96286,0.96738,0.98942,0.82708,0.68819,0.44068,0.97037,0.00103288,0.00103288,0.00103288
16,274.333,0.91406,0.57473,1.08183,0.98356,0.98662,0.99457,0.847,0.66482,0.38819,0.95214,0.00100459,0.00100459,0.00100459
17,291.537,0.88793,0.56008,1.06659,0.98384,0.98801,0.99325,0.84354,0.63614,0.38352,0.94462,0.000976293,0.000976293,0.000976293
18,307.662,0.86276,0.53567,1.04845,0.98961,0.99326,0.99433,0.86331,0.60127,0.35563,0.92074,0.000947999,0.000947999,0.000947999
19,324.194,0.86751,0.51971,1.06122,0.98811,0.9829,0.99358,0.85367,0.63647,0.36915,0.93716,0.000919704,0.000919704,0.000919704
20,340.536,0.8637,0.51777,1.05618,0.98398,0.98635,0.99325,0.85778,0.63766,0.3623,0.9372,0.00089141,0.00089141,0.00089141
21,357.678,0.85297,0.50021,1.04331,0.99412,0.98206,0.99338,0.85049,0.63692,0.35246,0.9333,0.000863116,0.000863116,0.000863116
22,375.019,0.85443,0.49977,1.05846,0.9946,0.99145,0.99208,0.85909,0.61295,0.337,0.93218,0.000834822,0.000834822,0.000834822
23,390.949,0.84481,0.48759,1.04289,0.98887,0.98492,0.99336,0.84099,0.67506,0.35394,0.95455,0.000806528,0.000806528,0.000806528
24,407.475,0.8202,0.49555,1.035,0.99024,0.98968,0.99437,0.86176,0.61244,0.33717,0.92704,0.000778233,0.000778233,0.000778233
25,424.071,0.84374,0.48997,1.03496,0.99351,0.98961,0.9932,0.86425,0.60064,0.33012,0.92566,0.000749939,0.000749939,0.000749939
26,440.658,0.8108,0.47135,1.03215,0.98984,0.99083,0.99441,0.84214,0.67831,0.34677,0.95802,0.000721645,0.000721645,0.000721645
27,457.926,0.80009,0.46556,1.02258,0.98758,0.98743,0.99393,0.83901,0.67866,0.34738,0.95692,0.000693351,0.000693351,0.000693351
28,474.245,0.80269,0.46052,1.02834,0.96988,0.98162,0.99195,0.83081,0.68752,0.38369,0.98133,0.000665057,0.000665057,0.000665057
29,490.55,0.78702,0.46109,1.02468,0.9912,0.98703,0.99344,0.86351,0.63502,0.33577,0.92633,0.000636762,0.000636762,0.000636762
30,506.722,0.80625,0.4599,1.02307,0.98603,0.98152,0.99281,0.85161,0.65408,0.34456,0.95178,0.000608468,0.000608468,0.000608468
31,523.091,0.7642,0.43974,1.01145,0.99017,0.98961,0.99392,0.85812,0.63865,0.32746,0.9394,0.000580174,0.000580174,0.000580174
32,539.253,0.76259,0.43579,1.01205,0.9897,0.98749,0.99293,0.86567,0.60917,0.32283,0.93255,0.00055188,0.00055188,0.00055188
33,556.994,0.77549,0.4409,1.01759,0.99053,0.98954,0.99408,0.87892,0.57307,0.31147,0.90452,0.000523586,0.000523586,0.000523586
34,574.123,0.75178,0.43443,1.00618,0.99176,0.98864,0.99313,0.87159,0.6004,0.31064,0.92404,0.000495291,0.000495291,0.000495291
35,590.448,0.7519,0.42887,1.00614,0.99413,0.9883,0.9935,0.86929,0.60486,0.31213,0.92452,0.000466997,0.000466997,0.000466997
36,606.888,0.749,0.42032,1.00489,0.99385,0.98851,0.99387,0.87417,0.5938,0.31038,0.91837,0.000438703,0.000438703,0.000438703
37,623.224,0.74362,0.4146,0.99635,0.99002,0.99264,0.9937,0.85992,0.64384,0.3188,0.94021,0.000410409,0.000410409,0.000410409
